"area_code","bezirk","time","population_total","unemp","outside_labour_force","unemp_rate","rental_price","gross_income","download_speed","flood_risk","nuts3","gdp","schools","area_in_km2","pop_density","real_estate_price","duration_car_in_min_urban_centre","duration_train_in_min_urban_centre","c_500","c_1000","c_10_19","c_20_49","c_50_99","c_250_499","c_100_250","rural_level","district_type","land_price","universities_within_5km","fhs_within_5km","year","rental_rate","w_permit_1_2","w_permit_3_10","w_permit_11","green_ratio","green_with_arable_ratio"
206,"Spittal an der Drau <206>",2022,75549,2125,38408,0.0572143991814975,10.3,34973.0194200944,466.379912430051,0.0409337388650941,"AT212",35000,57,2764.99,27.3234261245068,3491,53.4166666666667,83.55,2,1,218,133,42,6,10,410,"rural",77,0,0,2022,23.7282772078795,584,32,12,0.688423967828611,0.707243226179074
207,"Villach rural area <207>",2022,65285,1640,33022,0.0508322226699315,11.6,38576.7646333618,593.797181503577,0.0139749300670769,"AT211",50200,43,1009.29,64.6840848517274,4232,40.8166666666667,91.7,0,0,135,87,22,1,14,310,"rural",77.1,0,0,2022,18.6138613861386,749,51,8,0.733241290170965,0.771448994379492
208,"V lkermarkt <208>",2022,41905,1153,20990,0.0551278986373416,9,35283.9435759795,577.898719700508,0.00766257469733265,"AT213",40200,31,907.61,46.1707120899946,4015,30.4666666666667,48.1666666666667,0,1,91,54,18,3,16,430,"rural",48.7,0,0,2022,17.1495860690836,321,16,5,0.623114378978647,0.79157584236154
209,"Wolfsberg <209>",2022,52296,959,26173,0.036710944378517,8.5,36777.7510278219,1018.27116188949,0.00908854414938006,"AT213",40200,39,973.65,53.7112925589277,2245,48.4666666666667,82.3333333333333,4,0,137,93,34,8,18,410,"rural",63.4,0,0,2022,21.6700712090262,285,8,6,0.661224405760698,0.73863765042567
301,"Krems an der Donau urban area <301>",2022,24921,737,12970,0.061668479625136,11.3,36268.1690847847,1418.85837187789,0.131535047531459,"AT124",36600,22,51.66,482.404181184669,3316,59.4666666666667,90.1666666666667,5,0,82,58,17,4,16,102,"urban",200.9,3,1,2022,47.6624044970508,67,15,19,0.310590789269654,0.427663203597457
302,"Sankt P lten urban area <302>",2022,56360,2214,27800,0.0775210084033613,11.1,36892.2387205739,1603.50969573284,0.0616356199407453,"AT123",49200,59,108.44,519.734415344891,3567,55.55,36.5166666666667,10,11,203,134,57,12,37,102,"urban",170.8,2,1,2022,45.7043835664153,476,15,47,0.150609275006575,0.67695274831244
303,"Waidhofen an der Ybbs urban area <303>",2022,11092,116,5438,0.0205164485320127,9.1,39371.690502053,997.931166902404,0.0050129766078435,"AT121",38500,13,131.56,84.31134083308,1776,55.6666666666667,59.1333333333333,1,0,28,22,6,2,3,220,"rural",110.6,0,0,2022,24.2775085262969,46,3,4,0.421530774471951,0.421530774471951
304,"Wiener Neustadt urban area <304>",2022,47106,2193,22929,0.0907060429333664,10.7,36511.2859225233,2087.41214695752,0.00302470670156427,"AT122",35000,42,60.94,772.989826058418,3012,44.9166666666667,40.9,4,5,157,110,27,3,19,102,"urban",310.3,0,1,2022,51.767909509845,228,18,52,0.298941444459333,0.590915181562374
305,"Amstetten <305>",2022,116984,1824,55010,0.0294316971633266,9.1,38864.211473221,866.451680739608,0.0744135701465921,"AT121",38500,98,1187.73,98.4937654180664,2800,41.3166666666667,28.7333333333333,8,3,304,224,65,11,28,102,"urban",75.6,0,0,2022,22.9551988195487,1082,48,45,0.328544680851064,0.598544680851064
306,"Baden <306>",2022,147850,4538,71825,0.0596908911542256,12.1,42193.4165829973,2112.3582819378,0.0427380631303187,"AT127",54900,82,753.64,196.181200573218,3614,35.55,40.15,2,0,387,206,57,12,42,102,"urban",253.6,0,0,2022,29.4583047277526,1124,67,65,0.507939416947023,0.74764042884633
